                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.038236,               0.028464,               0.022962,                      0,                0.87432,                0.68138,                0.77913,                0.49962,                0.87016,                0.68522,                0.77183,                0.50988,               0.037676,               0.027264,                0.01684,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.037055,               0.027699,               0.022326,                      0,                0.87071,                 0.6929,                0.78949,                0.50469,                0.87366,                0.68714,                0.77778,                 0.5229,               0.037458,               0.026521,               0.017697,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.036792,               0.027425,               0.022559,                      0,                0.84582,                0.71017,                0.79892,                0.50747,                0.86824,                0.68714,                0.78268,                0.51131,               0.037288,               0.027298,               0.016712,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.036591,               0.027308,               0.022785,                      0,                0.83169,                0.69098,                0.77569,                0.49993,                0.83025,                0.68533,                0.76168,                0.50159,                0.03666,               0.026516,               0.017199,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.035013,               0.026469,                 0.0217,                      0,                 0.8467,                0.68138,                0.77692,                0.50128,                0.84505,                0.66996,                 0.7698,                0.50316,               0.036853,               0.025747,               0.017381,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,                0.03549,                0.02691,               0.021738,                      0,                0.85331,                0.69482,                0.78202,                0.51321,                 0.8524,                0.68714,                0.77156,                0.51609,               0.037271,               0.026175,                0.01714,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.035455,                0.02639,               0.021577,                      0,                0.86265,                0.69921,                0.78305,                0.51189,                0.85802,                 0.7025,                 0.7761,                0.51012,               0.036749,               0.026096,               0.017298,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.035373,               0.026682,               0.021797,                      0,                0.83301,                0.72169,                0.78893,                0.50819,                0.83183,                0.71401,                0.77112,                0.51398,               0.036036,               0.026185,               0.017652,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.034635,                0.02619,               0.021369,                      0,                0.85605,                0.70769,                0.79093,                0.52353,                 0.8609,                0.70086,                0.77942,                0.52545,               0.034922,               0.025208,                 0.0173,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.034806,               0.026901,               0.021578,                      0,                  0.836,                0.71423,                0.79856,                0.53801,                0.86811,                0.68522,                0.78739,                0.52985,               0.035459,               0.025518,               0.016681,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.034573,               0.026341,               0.021096,                      0,                0.85473,                0.72277,                0.79879,                0.52557,                 0.8447,                0.72037,                0.78439,                0.52893,               0.034749,               0.024755,               0.016544,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,               0.034745,               0.026203,               0.021046,                      0,                0.87618,                0.70058,                0.81376,                0.53534,                0.86917,                0.69866,                0.80303,                0.54847,               0.034685,               0.024418,               0.016764,                      0,               0.009307,               0.009307,               0.009307
                     37,               0.034217,               0.025784,               0.020581,                      0,                0.85234,                0.69482,                 0.7891,                0.52589,                0.85719,                0.68714,                0.78185,                0.53104,               0.035452,               0.024927,               0.017615,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,                0.03393,               0.025902,               0.020728,                      0,                 0.8741,                0.67965,                0.78562,                0.52145,                0.86879,                0.68626,                0.77999,                0.52029,               0.036173,               0.025348,               0.016996,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.033879,               0.025949,               0.020733,                      0,                0.85627,                0.69751,                0.78102,                0.51615,                0.88557,                0.66844,                0.76927,                0.51192,               0.036396,               0.024856,               0.017096,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.033588,               0.025043,               0.020089,                      0,                0.82478,                0.74085,                0.80191,                0.53514,                0.81623,                0.73317,                0.78841,                0.52872,               0.034423,               0.024015,               0.016787,                      0,              0.0092278,              0.0092278,              0.0092278
                     41,               0.033446,               0.025389,                0.02097,                      0,                0.87238,                0.70852,                0.78743,                0.51204,                0.87119,                0.70633,                   0.78,                0.51886,               0.035786,               0.024775,               0.017093,                      0,               0.009208,               0.009208,               0.009208
                     42,               0.033714,               0.024737,               0.020268,                      0,                0.85865,                0.72288,                 0.8102,                0.55258,                0.85339,                0.71593,                0.79772,                0.55441,               0.034084,               0.024503,               0.016371,                      0,              0.0091882,              0.0091882,              0.0091882
                     43,               0.032796,                0.02541,               0.019864,                      0,                0.87442,                 0.7025,                 0.8055,                0.54087,                0.86625,                0.69098,                0.79367,                0.54793,               0.035558,               0.024366,               0.016346,                      0,              0.0091684,              0.0091684,              0.0091684
                     44,                0.03342,                0.02494,               0.020696,                      0,                0.84737,                0.71397,                0.79401,                0.52985,                0.85275,                0.72252,                  0.784,                0.54579,               0.034906,               0.024565,               0.018631,                      0,              0.0091486,              0.0091486,              0.0091486
                     45,               0.033041,               0.025125,               0.019863,                      0,                0.84813,                0.72169,                0.80033,                0.54275,                0.84165,                0.72434,                0.79464,                0.55007,               0.035112,               0.024402,               0.016551,                      0,              0.0091288,              0.0091288,              0.0091288
