                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.032126,               0.023347,               0.019312,                      0,                0.88159,                0.68138,                0.79172,                0.53791,                0.88159,                0.68138,                0.78583,                0.52564,                0.03669,               0.025396,               0.016459,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.032209,                0.02443,               0.019285,                      0,                0.92486,                0.70633,                0.81571,                0.56495,                0.90078,                0.71593,                 0.8122,                0.55521,                0.03307,               0.023465,               0.015805,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.032682,               0.024263,               0.019911,                      0,                 0.8203,                0.73704,                0.79453,                 0.5331,                0.83395,                0.71401,                0.78321,                0.53945,               0.034671,               0.024788,               0.017288,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.031711,               0.023531,               0.019234,                      0,                0.86045,                0.72361,                0.80302,                0.54711,                0.84903,                0.71401,                0.79715,                0.54003,               0.034886,               0.024039,               0.015968,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.031054,               0.023139,               0.018318,                      0,                0.84965,                0.76392,                0.82253,                0.58232,                0.89187,                0.73321,                0.81852,                 0.5882,                0.03209,               0.023344,               0.015821,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,               0.031498,                0.02272,               0.018679,                      0,                0.91078,                0.72495,                 0.8171,                0.55507,                0.90909,                0.72361,                0.80326,                0.55496,                0.03487,               0.022487,               0.015766,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.030573,               0.022286,               0.018438,                      0,                 0.8414,                0.74856,                0.80269,                0.55792,                 0.8384,                 0.7428,                0.79025,                0.54691,               0.033995,               0.023872,               0.016776,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.029726,               0.022898,               0.018722,                      0,                 0.8804,                0.75432,                0.83847,                0.59469,                0.88835,                0.74829,                0.82567,                0.57943,               0.032488,               0.023023,               0.015393,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.029975,               0.023348,               0.018382,                      0,                 0.8612,                0.76967,                0.83658,                0.59126,                0.86467,                0.76967,                0.83256,                0.57761,               0.031849,               0.022625,               0.015235,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.029782,               0.022476,               0.018039,                      0,                0.84836,                0.78119,                0.83266,                0.58053,                0.89229,                0.73704,                 0.8224,                0.56865,               0.031656,                0.02294,                0.01546,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.030127,               0.023032,               0.018718,                      0,                 0.8582,                0.70633,                0.80544,                0.55521,                0.85974,                0.70633,                0.79679,                0.55212,               0.034519,               0.023778,               0.017019,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,               0.029666,               0.022339,               0.018321,                      0,                0.86783,                0.74472,                0.83618,                0.58857,                0.87516,                0.74472,                0.82308,                0.57874,               0.031876,               0.023219,               0.015678,                      0,               0.009307,               0.009307,               0.009307
                     37,               0.029556,               0.021876,               0.018436,                      0,                  0.887,                0.74664,                  0.842,                0.59958,                0.88599,                0.74579,                 0.8309,                0.59133,               0.031371,               0.022638,                0.01519,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,               0.029385,               0.021997,               0.017681,                      0,                0.87149,                0.77927,                 0.8562,                0.61515,                0.86832,                0.77927,                0.85121,                0.60726,               0.029803,               0.022267,               0.014708,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.029014,               0.021974,               0.017673,                      0,                0.87812,                0.74676,                0.82872,                0.58544,                0.87338,                0.73512,                0.82028,                0.56829,               0.032722,               0.022046,               0.014685,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.028955,               0.021462,               0.018032,                      0,                0.84918,                 0.7673,                0.82992,                0.58761,                0.87073,                0.74664,                0.82495,                0.58329,               0.031946,               0.022026,                0.01603,                      0,              0.0092278,              0.0092278,              0.0092278
                     41,               0.028105,               0.021247,               0.017718,                      0,                0.92438,                0.77432,                0.85996,                0.62819,                0.92388,                0.76877,                0.85251,                0.61246,               0.030221,               0.022846,               0.014679,                      0,               0.009208,               0.009208,               0.009208
                     42,                0.02749,               0.021051,               0.016941,                      0,                0.89861,                0.74853,                0.83046,                 0.6022,                0.89242,                0.74856,                 0.8249,                0.58607,               0.030794,               0.021724,               0.015902,                      0,              0.0091882,              0.0091882,              0.0091882
                     43,               0.028318,               0.020815,               0.016762,                      0,                0.90591,                0.77615,                0.86467,                0.63051,                0.92509,                0.75849,                0.85105,                0.61074,               0.029155,               0.021678,               0.014208,                      0,              0.0091684,              0.0091684,              0.0091684
                     44,               0.028511,               0.021244,               0.017203,                      0,                0.89363,                0.77403,                0.85013,                0.61133,                0.89142,                0.77212,                0.83921,                0.58974,               0.031254,               0.021767,                0.01434,                      0,              0.0091486,              0.0091486,              0.0091486
                     45,               0.027438,               0.020769,               0.016917,                      0,                0.87455,                0.80284,                0.86059,                0.61884,                0.87361,                0.79601,                0.84757,                0.61901,               0.029326,               0.021274,               0.014454,                      0,              0.0091288,              0.0091288,              0.0091288
                     46,               0.027624,               0.020497,               0.016848,                      0,                0.92304,                0.74088,                0.84032,                 0.6172,                0.92098,                0.73819,                0.82558,                  0.592,                0.03121,               0.021543,               0.015652,                      0,               0.009109,               0.009109,               0.009109
                     47,               0.026976,               0.020228,               0.016107,                      0,                0.90385,                0.74472,                0.84491,                 0.6164,                0.90385,                0.74472,                0.83832,                0.60353,               0.029776,               0.021632,               0.015214,                      0,              0.0090892,              0.0090892,              0.0090892
                     48,               0.026691,               0.020245,               0.015978,                      0,                0.89401,                0.74664,                0.83405,                0.61276,                0.89842,                0.73896,                0.82331,                 0.5958,               0.031289,               0.022416,               0.015023,                      0,              0.0090694,              0.0090694,              0.0090694
                     49,               0.026803,                0.02011,               0.016118,                      0,                0.88921,                0.76583,                0.84571,                0.61735,                0.88137,                0.75816,                0.82775,                0.59557,               0.029832,               0.021019,               0.015292,                      0,              0.0090496,              0.0090496,              0.0090496
                     50,               0.027149,                0.02053,               0.016413,                      0,                0.89284,                0.76008,                 0.8495,                0.61409,                0.90016,                0.74664,                0.83851,                0.60193,                0.03086,               0.021943,               0.014564,                      0,              0.0090298,              0.0090298,              0.0090298
                     51,                0.02694,               0.020493,               0.016265,                      0,                0.94801,                0.73497,                0.84441,                0.62264,                0.95048,                0.73689,                0.83632,                0.61143,               0.030087,               0.022036,               0.015743,                      0,                0.00901,                0.00901,                0.00901
                     52,               0.027199,               0.019731,               0.015698,                      0,                  0.876,                0.78646,                0.84037,                0.61235,                0.89141,                0.76008,                0.82855,                0.59003,                0.03084,               0.021812,               0.015038,                      0,              0.0089902,              0.0089902,              0.0089902
                     53,               0.026668,                0.02081,               0.015845,                      0,                0.86089,                0.78119,                0.83739,                0.62207,                0.84278,                0.78197,                0.82896,                 0.5947,                0.03087,               0.022214,               0.015615,                      0,              0.0089704,              0.0089704,              0.0089704
                     54,               0.025714,               0.019569,               0.015407,                      0,                0.86275,                0.77218,                 0.8334,                0.60304,                0.86565,                0.76775,                0.82655,                0.58226,                0.03055,               0.021551,               0.015336,                      0,              0.0089506,              0.0089506,              0.0089506
                     55,               0.027172,               0.020166,               0.016267,                      0,                0.90494,                0.76775,                0.85143,                0.62581,                0.90268,                0.76583,                0.84791,                0.61974,               0.029326,               0.021256,               0.015491,                      0,              0.0089308,              0.0089308,              0.0089308
                     56,               0.025766,               0.019492,               0.015305,                      0,                0.94223,                0.73704,                0.85096,                0.62287,                0.93978,                0.73512,                0.84079,                0.60469,               0.030257,                0.02152,               0.015611,                      0,               0.008911,               0.008911,               0.008911
                     57,               0.026201,               0.020161,               0.015838,                      0,                0.92551,                0.76318,                0.84975,                0.62799,                0.92331,                0.76263,                0.84365,                0.61132,               0.029584,               0.021543,               0.016375,                      0,              0.0088912,              0.0088912,              0.0088912
                     58,               0.026174,               0.020158,               0.016259,                      0,                0.93101,                0.75114,                0.85488,                0.63691,                0.92863,                0.74923,                0.84826,                0.62422,               0.029519,               0.020856,               0.015561,                      0,              0.0088714,              0.0088714,              0.0088714
                     59,               0.025719,               0.019654,                 0.0148,                      0,                0.91795,                0.73512,                0.82659,                0.61265,                0.92771,                0.73321,                0.81881,                0.59817,               0.030908,               0.021868,               0.015927,                      0,              0.0088516,              0.0088516,              0.0088516
                     60,               0.026446,               0.019509,               0.015712,                      0,                0.89012,                0.74472,                0.84648,                0.62641,                0.89012,                0.74472,                0.83803,                0.62083,               0.029657,               0.020838,               0.016373,                      0,              0.0088318,              0.0088318,              0.0088318
                     61,               0.025323,               0.019654,               0.014893,                      0,                0.91392,                0.75397,                0.85284,                 0.6325,                0.91159,                0.75205,                0.83936,                0.60437,               0.029978,               0.021031,                0.01527,                      0,               0.008812,               0.008812,               0.008812
                     62,               0.025639,               0.019552,               0.015399,                      0,                0.89557,                0.79007,                0.86076,                0.64373,                0.90601,                0.77712,                0.85313,                0.62652,               0.029054,                0.02073,               0.015155,                      0,              0.0087922,              0.0087922,              0.0087922
                     63,               0.025505,               0.019441,               0.015503,                      0,                0.88053,                0.77351,                0.84916,                0.63558,                0.89197,                0.76008,                0.84477,                0.60861,               0.029606,               0.021501,               0.014762,                      0,              0.0087724,              0.0087724,              0.0087724
                     64,               0.024946,               0.019437,               0.015174,                      0,                0.93103,                0.76775,                0.86256,                0.64178,                0.91773,                0.77076,                0.84734,                0.62031,                0.02889,               0.021386,               0.015695,                      0,              0.0087526,              0.0087526,              0.0087526
