                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.029347,                0.02172,               0.017801,                      0,                0.91338,                  0.762,                0.83929,                0.59871,                0.90955,                0.75816,                0.82672,                0.59791,               0.032292,               0.022052,                0.01479,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.029487,                0.02131,               0.017515,                      0,                0.92713,                0.74664,                0.84902,                0.61067,                0.92713,                0.74664,                0.84167,                0.59708,                0.03015,               0.021546,               0.014989,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.028756,               0.021268,               0.017428,                      0,                0.89271,                0.79655,                 0.8636,                0.61374,                0.88462,                0.78887,                0.85063,                0.59494,               0.029936,               0.021377,               0.014124,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.028383,               0.020888,               0.017565,                      0,                0.90321,                0.77021,                0.86508,                0.63695,                0.89871,                0.76637,                0.85786,                0.61396,               0.029103,                0.02207,               0.014321,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.027106,               0.020294,               0.016524,                      0,                0.94103,                0.74088,                0.83863,                0.60822,                0.93107,                0.72592,                0.82333,                0.58431,               0.030211,               0.020995,               0.015041,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,               0.027046,               0.020586,               0.016731,                      0,                0.92516,                0.73559,                0.83607,                 0.6097,                 0.9265,                0.72583,                0.81962,                0.58648,               0.031387,               0.021799,               0.014827,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.027726,               0.020614,                0.01664,                      0,                0.89421,                0.78503,                0.85773,                 0.6225,                0.90842,                 0.7616,                0.84364,                0.60007,                0.02864,               0.020813,                0.01451,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.027917,               0.020632,               0.016382,                      0,                0.91608,                 0.7543,                0.85086,                0.62073,                0.93665,                0.74472,                0.83323,                0.59282,               0.030596,               0.022288,               0.013991,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.026896,               0.020509,               0.016426,                      0,                0.90629,                0.77966,                0.86179,                0.63089,                0.94033,                0.74088,                0.84557,                0.61498,                0.02906,               0.021946,               0.014431,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.027243,               0.020995,               0.016964,                      0,                0.90978,                0.77543,                0.86688,                0.64581,                0.91772,                0.77351,                0.85745,                0.62031,               0.028361,               0.020615,               0.014184,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.025999,               0.019936,               0.016136,                      0,                 0.9362,                0.76008,                 0.8542,                0.63562,                0.93108,                0.75624,                0.84496,                 0.6119,               0.029118,               0.021373,               0.014514,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,               0.026363,               0.019788,               0.015585,                      0,                0.92073,                0.78887,                0.86836,                0.65698,                0.92966,                0.77735,                0.86125,                0.62798,               0.027724,               0.020692,               0.014416,                      0,               0.009307,               0.009307,               0.009307
                     37,               0.025432,               0.019644,               0.015226,                      0,                 0.9037,                0.79256,                0.87271,                0.65799,                0.90793,                0.79493,                0.87475,                0.63934,                0.02721,               0.020182,               0.013854,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,               0.026115,                0.01952,               0.015323,                      0,                0.88151,                0.79079,                0.85494,                0.63312,                0.88592,                0.76775,                0.83948,                 0.6021,               0.029837,               0.021118,               0.015139,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.025455,               0.019409,               0.015239,                      0,                0.93204,                0.78974,                0.87979,                0.65819,                0.92885,                0.78503,                0.86491,                0.61866,               0.028072,               0.020467,               0.013898,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.025275,               0.019125,               0.014716,                      0,                0.92419,                0.80998,                0.88566,                0.65882,                0.91754,                0.80422,                0.87762,                0.63397,               0.027084,               0.019898,                0.01366,                      0,              0.0092278,              0.0092278,              0.0092278
                     41,               0.025213,               0.019423,                0.01562,                      0,                0.89639,                0.79463,                0.86869,                0.66102,                 0.8979,                0.78887,                0.85622,                0.62213,               0.028209,               0.020581,               0.014594,                      0,               0.009208,               0.009208,               0.009208
                     42,               0.025243,               0.018976,               0.014896,                      0,                0.92752,                0.78601,                0.87151,                0.64435,                0.93551,                0.77735,                0.85984,                0.61024,               0.028237,               0.020363,               0.014242,                      0,              0.0091882,              0.0091882,              0.0091882
                     43,               0.024958,               0.019301,               0.014763,                      0,                0.95144,                0.77351,                 0.8534,                0.64219,                0.95185,                0.76967,                0.84557,                0.62031,               0.029908,               0.020276,               0.014351,                      0,              0.0091684,              0.0091684,              0.0091684
                     44,                0.02429,               0.019059,               0.015367,                      0,                0.91058,                 0.8215,                0.88872,                0.67414,                0.90633,                0.81766,                0.88349,                0.63454,               0.026285,               0.019885,               0.014135,                      0,              0.0091486,              0.0091486,              0.0091486
                     45,               0.024475,               0.018844,               0.014249,                      0,                0.93585,                0.78401,                0.87179,                0.65974,                0.93134,                0.78101,                0.85947,                0.61615,               0.027811,               0.020573,               0.014117,                      0,              0.0091288,              0.0091288,              0.0091288
                     46,               0.024368,                0.01868,               0.014132,                      0,                 0.9356,                0.77159,                0.84942,                0.63633,                0.92163,                0.76008,                0.83393,                0.59629,               0.028914,               0.021313,               0.015891,                      0,               0.009109,               0.009109,               0.009109
                     47,               0.023643,               0.018733,               0.014403,                      0,                0.93064,                0.80998,                0.88219,                 0.6606,                0.92237,                 0.8023,                0.87247,                0.63028,               0.027375,               0.019671,                0.01435,                      0,              0.0090892,              0.0090892,              0.0090892
                     48,               0.023462,               0.018326,               0.014134,                      0,                0.94053,                0.79846,                 0.8685,                0.66637,                0.93601,                0.79463,                0.86503,                0.63475,               0.027752,               0.020119,               0.014067,                      0,              0.0090694,              0.0090694,              0.0090694
                     49,               0.023626,               0.018522,               0.014172,                      0,                0.93373,                0.80614,                0.87747,                0.66471,                0.93151,                0.80422,                0.86718,                0.63033,               0.027313,               0.020579,               0.014014,                      0,              0.0090496,              0.0090496,              0.0090496
                     50,               0.023233,               0.018419,               0.014303,                      0,                0.92108,                 0.8023,                0.87656,                0.67031,                 0.9216,                0.79655,                0.87228,                0.64229,               0.026827,               0.019886,               0.014214,                      0,              0.0090298,              0.0090298,              0.0090298
                     51,               0.023283,               0.017984,               0.014228,                      0,                0.90728,                0.82638,                0.87796,                0.68286,                0.90667,                0.82043,                0.87266,                0.64707,               0.026471,               0.020714,               0.013852,                      0,                0.00901,                0.00901,                0.00901
                     52,               0.023673,               0.018396,               0.014057,                      0,                0.94311,                0.79846,                0.86873,                 0.6591,                0.93834,                0.79463,                0.85775,                0.62584,               0.027233,               0.020327,               0.014789,                      0,              0.0089902,              0.0089902,              0.0089902
                     53,               0.023151,                0.01793,               0.014309,                      0,                0.92322,                0.78473,                0.87868,                0.67841,                0.92663,                0.77735,                0.86588,                0.64237,               0.026848,                0.02066,               0.014209,                      0,              0.0089704,              0.0089704,              0.0089704
                     54,               0.023514,               0.017993,               0.014168,                      0,                0.92877,                0.80088,                0.88053,                0.68483,                0.92655,                0.79896,                0.87508,                0.64286,               0.025741,               0.019464,               0.014064,                      0,              0.0089506,              0.0089506,              0.0089506
                     55,               0.022989,               0.018003,               0.013519,                      0,                0.91864,                0.80185,                0.88437,                0.68052,                0.91864,                0.80185,                0.87804,                0.66087,               0.026091,                0.01989,               0.013973,                      0,              0.0089308,              0.0089308,              0.0089308
                     56,               0.022953,               0.017916,               0.013861,                      0,                0.92351,                0.82534,                0.88862,                0.68531,                0.91782,                0.80806,                0.87855,                0.65754,               0.025897,               0.019374,               0.014297,                      0,               0.008911,               0.008911,               0.008911
                     57,                0.02268,               0.017543,               0.013616,                      0,                0.91127,                 0.8279,                0.89022,                0.68911,                0.91952,                0.80422,                0.88212,                0.65925,               0.026136,               0.020071,               0.013819,                      0,              0.0088912,              0.0088912,              0.0088912
                     58,               0.022355,               0.017957,                0.01321,                      0,                0.95366,                0.79655,                0.88298,                 0.6898,                 0.9456,                0.80075,                0.87837,                0.64076,               0.026622,               0.020265,               0.013653,                      0,              0.0088714,              0.0088714,              0.0088714
                     59,               0.022641,               0.017266,               0.013625,                      0,                 0.9549,                0.78311,                 0.8629,                0.67656,                0.95321,                0.78195,                0.86152,                0.64529,               0.027388,               0.019892,               0.014903,                      0,              0.0088516,              0.0088516,              0.0088516
                     60,               0.022205,               0.017798,               0.013543,                      0,                0.93459,                0.79533,                0.87598,                0.67427,                0.93234,                0.79341,                0.86697,                 0.6346,               0.026563,               0.020385,               0.014758,                      0,              0.0088318,              0.0088318,              0.0088318
                     61,               0.022403,               0.017667,               0.013718,                      0,                0.90092,                0.81382,                0.87844,                 0.6826,                0.95686,                0.76775,                0.86635,                0.64447,               0.026566,               0.020683,               0.014716,                      0,               0.008812,               0.008812,               0.008812
                     62,               0.022172,               0.017263,               0.015236,                      0,                0.91505,                0.82534,                0.88262,                0.68743,                0.92021,                 0.8023,                0.86871,                0.63771,               0.026293,               0.019682,               0.013693,                      0,              0.0087922,              0.0087922,              0.0087922
                     63,               0.022457,               0.017374,                0.01331,                      0,                0.94199,                0.81382,                0.88183,                0.68499,                0.93258,                0.80614,                0.87098,                0.65017,               0.025608,                 0.0196,               0.014011,                      0,              0.0087724,              0.0087724,              0.0087724
                     64,               0.021409,               0.016804,               0.013086,                      0,                0.94564,                0.80141,                0.88898,                 0.6843,                0.93886,                 0.7958,                0.88187,                0.64328,               0.026137,               0.020231,               0.013927,                      0,              0.0087526,              0.0087526,              0.0087526
                     65,               0.022622,               0.017194,               0.013512,                      0,                0.92603,                0.81699,                0.88118,                0.68245,                0.95226,                0.79271,                0.87679,                0.63852,               0.026018,               0.020082,               0.014113,                      0,              0.0087328,              0.0087328,              0.0087328
                     66,               0.021951,               0.017348,               0.013089,                      0,                0.94095,                0.82577,                0.88364,                0.68151,                0.93876,                0.82385,                 0.8776,                0.64074,               0.026173,               0.019611,               0.013863,                      0,               0.008713,               0.008713,               0.008713
                     67,               0.021622,               0.016706,               0.012697,                      0,                0.95217,                 0.8119,                0.88042,                0.68492,                0.94273,                0.80422,                0.86994,                0.64827,               0.026032,               0.019495,               0.014591,                      0,              0.0086932,              0.0086932,              0.0086932
                     68,               0.021755,               0.017081,               0.013395,                      0,                0.94098,                0.81958,                0.88604,                0.68747,                0.93023,                0.80998,                0.87808,                0.65592,               0.025539,               0.019404,               0.013787,                      0,              0.0086734,              0.0086734,              0.0086734
                     69,               0.021768,               0.016966,               0.013191,                      0,                0.93569,                0.80987,                 0.8815,                 0.6847,                0.93347,                0.80795,                0.87926,                0.65589,                0.02652,               0.019664,               0.014098,                      0,              0.0086536,              0.0086536,              0.0086536
                     70,                0.02136,               0.016726,               0.012823,                      0,                0.89933,                0.82534,                 0.8752,                0.68714,                0.91872,                0.80422,                 0.8676,                0.65036,               0.025406,               0.019937,               0.014476,                      0,              0.0086338,              0.0086338,              0.0086338
                     71,               0.021373,               0.016357,               0.012649,                      0,                0.92091,                0.82692,                0.89826,                0.68938,                0.92428,                0.80614,                 0.8835,                0.64775,               0.024991,               0.020011,                0.01444,                      0,               0.008614,               0.008614,               0.008614
                     72,               0.020637,               0.016608,               0.012622,                      0,                0.94651,                0.82342,                0.89027,                0.70069,                0.94639,                0.81328,                0.88041,                0.66307,               0.024916,               0.019338,               0.014791,                      0,              0.0085942,              0.0085942,              0.0085942
                     73,               0.021139,               0.016994,               0.012759,                      0,                0.94554,                0.80614,                0.87947,                0.68328,                0.94104,                 0.8023,                0.87328,                 0.6504,               0.025397,               0.019685,               0.014997,                      0,              0.0085744,              0.0085744,              0.0085744
                     74,               0.021199,               0.016776,               0.012481,                      0,                0.93473,                0.82726,                 0.8785,                0.69208,                0.92822,                 0.8215,                0.87045,                0.64751,               0.025782,               0.020228,               0.014662,                      0,              0.0085546,              0.0085546,              0.0085546
                     75,               0.020826,               0.017061,                0.01272,                      0,                0.94423,                0.80998,                0.88677,                0.68856,                0.93887,                0.80422,                0.87353,                0.65711,               0.025944,               0.020235,               0.014493,                      0,              0.0085348,              0.0085348,              0.0085348
                     76,               0.020271,               0.016764,                 0.0124,                      0,                0.92452,                0.80998,                0.87489,                0.68063,                0.96394,                0.76968,                0.86648,                0.64346,               0.025948,                 0.0205,               0.015376,                      0,               0.008515,               0.008515,               0.008515
                     77,               0.021058,                0.01706,               0.012703,                      0,                0.93775,                0.80961,                0.88781,                0.69163,                0.93162,                0.81059,                0.88288,                0.65491,               0.025558,               0.020722,               0.014909,                      0,              0.0084952,              0.0084952,              0.0084952
                     78,               0.020388,               0.016762,               0.012234,                      0,                 0.9495,                 0.8119,                0.88416,                0.67892,                0.93979,                0.80038,                0.86584,                0.63536,               0.026607,               0.020104,               0.013789,                      0,              0.0084754,              0.0084754,              0.0084754
                     79,               0.020053,               0.016582,                0.01246,                      0,                0.94727,                0.80614,                  0.893,                 0.7014,                0.93809,                0.79846,                 0.8782,                0.65503,                0.02508,               0.019974,               0.014196,                      0,              0.0084556,              0.0084556,              0.0084556
                     80,               0.020802,               0.016069,               0.012728,                      0,                0.95738,                0.79271,                0.88228,                0.68772,                0.95043,                0.78695,                0.86705,                0.64116,               0.025809,                0.01985,               0.014779,                      0,              0.0084358,              0.0084358,              0.0084358
                     81,                0.02031,               0.016263,               0.011961,                      0,                0.92321,                0.82534,                 0.8867,                 0.6893,                0.92242,                0.81766,                0.87346,                0.64634,               0.024757,                0.01996,               0.013855,                      0,               0.008416,               0.008416,               0.008416
                     82,               0.020504,               0.016512,               0.011849,                      0,                0.93432,                0.80038,                0.88485,                0.69039,                0.92862,                0.79902,                0.87399,                0.65735,               0.025305,               0.020156,                0.01445,                      0,              0.0083962,              0.0083962,              0.0083962
                     83,               0.020404,               0.016446,               0.012091,                      0,                0.94727,                0.81574,                0.89287,                0.69887,                 0.9527,                0.80806,                 0.8872,                0.65078,               0.024542,               0.019913,               0.013938,                      0,              0.0083764,              0.0083764,              0.0083764
                     84,               0.020253,                0.01634,               0.011957,                      0,                 0.9474,                 0.8215,                0.89034,                0.69986,                0.94091,                0.81574,                 0.8804,                0.66231,               0.024852,               0.020848,               0.013863,                      0,              0.0083566,              0.0083566,              0.0083566
                     85,               0.020209,                0.01627,               0.012125,                      0,                0.93037,                0.81382,                0.88665,                0.70521,                0.92523,                0.80751,                0.87689,                 0.6621,               0.024515,               0.020256,               0.014755,                      0,              0.0083368,              0.0083368,              0.0083368
                     86,               0.019886,                0.01574,               0.012115,                      0,                0.94261,                0.78887,                0.89046,                 0.6996,                0.94032,                0.78695,                0.88205,                0.66118,               0.024867,               0.019201,               0.014104,                      0,               0.008317,               0.008317,               0.008317
                     87,               0.020693,                0.01642,                0.01269,                      0,                0.95785,                0.78512,                0.87402,                0.68854,                0.95317,                0.78128,                0.86626,                0.64829,               0.025306,               0.019872,               0.015294,                      0,              0.0082972,              0.0082972,              0.0082972
                     88,               0.019857,                0.01585,               0.011937,                      0,                0.93043,                0.81958,                0.88964,                0.69372,                0.92389,                0.81382,                 0.8774,                0.64979,               0.024879,               0.019652,               0.014048,                      0,              0.0082774,              0.0082774,              0.0082774
                     89,               0.019623,               0.016404,               0.011843,                      0,                0.95189,                0.80038,                0.88241,                0.70041,                0.95189,                0.80038,                 0.8765,                0.65791,               0.025129,               0.020172,               0.015171,                      0,              0.0082576,              0.0082576,              0.0082576
                     90,               0.019587,               0.015693,                0.01181,                      0,                 0.9479,                0.80314,                0.88313,                0.68928,                0.94453,                0.79846,                0.87658,                0.64825,               0.025232,               0.020206,               0.014724,                      0,              0.0082378,              0.0082378,              0.0082378
                     91,               0.019592,               0.015686,               0.011741,                      0,                0.94593,                0.80587,                0.88291,                0.69138,                 0.9413,                0.80032,                0.87642,                0.65251,               0.025256,               0.020132,               0.014627,                      0,               0.008218,               0.008218,               0.008218
                     92,               0.020218,                0.01627,               0.012062,                      0,                0.93381,                0.81382,                0.88528,                0.69438,                0.93161,                 0.8119,                0.87933,                0.65085,               0.025004,               0.019976,               0.014795,                      0,              0.0081982,              0.0081982,              0.0081982
